run_id,pullback_pct,tp_pct,sl_pct,hold_days,rsi_long_max,rsi_short_min,trades,long_trades,short_trades,win_rate,avg_return,median_return,total_return_sum,profit_factor,final_equity,total_equity_return,max_drawdown,score,wf_id
490,0.005,0.008,0.006,7,40,50,129,15,114,0.496124,0.00063801,-0.00127026,0.0823031,1.212984,102472.34,0.02472345,-0.01515186,0.01898205,4
715,0.007,0.006,0.006,9,40,50,108,15,93,0.555556,0.00065551,0.00590328,0.0707951,1.248235,102128.92,0.02128918,-0.01128769,0.01881413,4
1292,0.01,0.01,0.008,9,40,55,33,11,22,0.575758,0.00142472,0.00224781,0.04701581,1.416134,101409.31,0.01409305,-0.01207664,0.01867895,4
605,0.005,0.01,0.006,9,35,55,48,0,48,0.458333,0.00107504,-0.00363937,0.05160177,1.351078,101547.33,0.01547328,-0.00944625,0.01866666,4
931,0.007,0.01,0.006,9,40,50,101,14,87,0.425743,0.00074653,-0.00603257,0.07539995,1.227226,102260.51,0.02260508,-0.01446397,0.01849924,4
166,0.003,0.008,0.006,7,40,50,141,15,126,0.496454,0.0005888,-0.00127026,0.08302134,1.196404,102492.16,0.02492163,-0.01582094,0.01815292,4
1184,0.01,0.008,0.008,9,40,55,33,11,22,0.606061,0.001395,0.00790724,0.04603486,1.438913,101381.32,0.01381318,-0.01207664,0.01810182,4
1139,0.01,0.008,0.006,7,40,55,36,11,25,0.527778,0.00120762,0.00590724,0.04347439,1.42117,101304.69,0.01304688,-0.00910209,0.01784142,4
1175,0.01,0.008,0.008,7,40,55,33,11,22,0.636364,0.00136154,0.00790137,0.04493081,1.464079,101348.53,0.01348526,-0.01207664,0.01743935,4
699,0.007,0.006,0.006,5,40,60,21,15,6,0.571429,0.00126814,0.0059201,0.02663085,1.59637,100799.03,0.00799025,-0.0041379,0.01736129,4
595,0.005,0.01,0.006,7,35,50,113,0,113,0.442478,0.00062426,-0.00603264,0.07054091,1.19329,102109.58,0.02109583,-0.01266519,0.01720624,4
428,0.005,0.006,0.008,9,40,55,62,16,46,0.629032,0.00095314,0.00590829,0.0590947,1.35434,101776.48,0.01776476,-0.01269405,0.01714093,4
382,0.005,0.006,0.006,7,40,50,137,16,121,0.547445,0.0005133,0.00590205,0.07032239,1.190993,102110.0,0.02109998,-0.0113807,0.01712844,4
706,0.007,0.006,0.006,7,40,50,108,15,93,0.555556,0.00061039,0.00590205,0.06592182,1.228852,101979.76,0.01979764,-0.01128769,0.01687136,4
923,0.007,0.01,0.006,7,40,55,54,14,40,0.481481,0.00101809,-0.00288184,0.05497666,1.336415,101649.12,0.01649119,-0.01268675,0.01652265,4
499,0.005,0.008,0.006,9,40,50,129,15,114,0.465116,0.0005884,-0.00393975,0.07590372,1.191123,102275.09,0.02275094,-0.01515186,0.01651347,4
932,0.007,0.01,0.006,9,40,55,54,14,40,0.444444,0.00101399,-0.00396021,0.05475553,1.327732,101641.87,0.01641873,-0.01268675,0.01640924,4
